ID,Title,Author,Publishers,Pages
5,The War: A Memoir,Marguerite Duras,Pantheon,183.0
6,Black Sunday,Thomas Harris,Dell,384.0
7,The Anti-Aging Zone,Barry Sears,William Morrow,432.0
8,The Good German: A Novel,Joseph Kanon,Henry Holt And Co.,512.0
9,This (BBC),Colman,Penguin (Non-Classics),304.0
10,Vom Kriege,Carl Von Clausewitz,Ullstein Taschenbuch,736.0
11,The Lord Of The Rings,J.R.R. Tolkien,Houghton Mifflin Harcourt,1168.0
12,Love, Greg Lamp Lauren,Greg Manning,352.0
13,You Are Not A Stranger Here,Adam Haslett,"Nan A. Talese, Doubleday",256.0
14,Final Payments,Mary Gordon,Ballantine Books,307.0
15,The Power Of Positive Thinking,Norman Vincen Peale,Fawcett,576.0
16,The Body Farm,Patricia Cornwell,Charles Scribner's Sons,320.0
17,Great Entertainers,Editors Of Reader's Digest,Berkley,345.0
18,Black And White: A Novel,Dan Mahoney,St. Martin's Paperbacksz,528.0
21,"Husband, Lover, Spy",Janice Pennington,St Martins Mass Market Paper,540.0
